objrole,objroleLabel,occurrences,Pred,PredDesc
Q639669,musicien ou musicienne,387,P175,interprète
Q128124,ingénieur du son,325,,
Q478798,image,307,,
Q339431,mixeur de son,188,,
Q2961972,chef-opérateur du son,72,,
Q638,musique,61,P86,compositeur ou compositrice
Q222344,directeur de la photographie,59,,
Q3024424,designer sonore,59,P5028,designer sonore
Q33999,acteur ou actrice,46,P161,distribution
Q1049296,directeur ou directrice de casting,39,,
Q21560152,responsable d'effets spéciaux,31,,
Q1757008,assistant réalisateur,29,,
Q11999333,producteur associé,25,,
Q7042855,monteur ou monteuse,24,P1040,monteur ou monteuse
Q935666,maquilleur ou maquilleuse,23,P4805,maquilleur ou maquilleuse
Q8311,superviseur des effets visuels,17,,
Q55187,coiffeur ou coiffeuse,15,,
Q465501,cascadeur ou cascadeuse,14,,
Q1263187,scripte,14,,
Q706364,directeur ou directrice artistique,14,,
Q27890911,réalisateur de seconde unité,12,,
Q7247822,directeur de production,11,,
Q28389,scénariste,11,P58,scénariste 
Q28002508,supervising sound editor,10,,
Q17156829,superviseur musical,10,,
Q4839644,artiste de décors,10,,
Q2833480,coordinateur des cascades,9,,
Q8313,superviseur en effets spéciaux,9,,
Q185925,graphisme,9,,
Q2442329,technicien ou technicienne audio,9,,
Q28122965,animateur des effets visuels,8,,
Q79371840,idéateur,7,,
Q739437,affichiste,7,,
Q28107590,artiste de concept,6,,
Q266569,animateur,6,,
Q1053574,producteur délégué,6,,
Q1235152,documentaliste,6,,
Q7628798,doublure pour cascades,5,,
Q36834,compositeur ou compositrice,5,,
Q28002469,head of visual development,5,,
Q2867219,assistant producteur,5,,
Q21292974,directeur de production,5,,
Q3180462,monteur son,5,,
Q1424726,éclairagiste,5,,
Q108128848,Coloriste,5,,
Q28002559,supervising finishing artist,4,,
Q20743434,photographe de plateau,4,,
Q755070,narrateur,4,,
Q28110454,artiste de layout,4,,
Q1111648,coloriste,4,,
Q6409989,décorateur de plateau,4,,
Q28020090,additional editor,4,,
Q1364080,VFX producer,4,,
Q28002553,score supervisor,3,,
Q3355249,orchestrateur,3,,
Q2513186,stand-in,3,,
Q1093536,régisseur général,3,,
Q1639269,premier assistant opérateur,3,,
Q6941738,music editor,3,,
Q3054941,Ensemblier,3,,
Q1208175,cadreur,3,,
Q373709,perchman,3,,
Q42273048,fight coordinator,2,,
Q28006902,stereoscopic supervisor,2,,
Q27890917,second unit director of photography,2,,
Q1062952,concepteur de personnages,2,,
Q165029,électricien,2,,
Q2994387,conseiller,2,,
Q61957805,teleplay by,2,,
Q1430377,accessoiriste,2,,
Q1519454,conception artistique,2,,
Q22916729,technicien d'animations,2,,
Q29168399,assistant editor,2,,
Q5762300,storyboardeur,2,,
Q20726593,pilote d'hélicoptère,2,,
Q27916568,superviseur technique,2,,
Q92054355,coordinating producer,2,,
Q28031442,post production supervisor,2,,
Q1224742,ingénieur de la vision,2,,
Q1773152,participation,2,,
Q2405480,acteur ou actrice de doublage,2,,
Q108818185,technicien de tournage,2,,
Q108895433,concepteur visuel,2,,
Q8317,Effets visuels,2,,
Q15296811,dessinateur ou dessinatrice,2,,
Q28125427,action choreographer,1,,
Q28018866,previsualization supervisor,1,,
Q28018869,post-visualization supervisor,1,,
Q42244994,visual development supervisor,1,,
Q5716684,danseur ou danseuse,1,,
Q354034,créateur de caractères,1,,
Q315625,trainee,1,,
Q27915504,story by,1,,
Q64168670,Assistant au mixage,1,,
Q1547003,chef machiniste,1,,
Q20204892,collaborateur,1,,
Q158852,chef ou cheffe d'orchestre,1,,
Q49757,poète ou poétesse,1,,
Q2399424,directeur technique,1,,
Q28552423,peintre de décors pour le cinéma,1,,
Q201788,historien ou historienne,1,,
Q2824524,Administrateur de production,1,,
Q5270498,dialect coach,1,,
Q27148032,sound recordist,1,,
Q834381,Deuxième assistant opérateur,1,,
Q1415225,directeur de production,1,,
Q3153559,interprète,1,,
Q1308239,acheteur,1,,
Q1826375,producteur exécutif,1,,
Q29168385,Opérateur steadicam,1,,
Q28031358,special creature effects by,1,,
Q28031426,supervising music editor,1,,
Q2962070,chef décorateur ou cheffe décoratrice,1,,
Q28031704,stunt supervisor,1,,
Q108816774,Infographiste,1,,
Q6884071,technicien au mixage,1,,
Q101521238,assistant sound mixer,1,,
Q22812879,artiste numérique,1,,
Q101517376,motion graphic artist,1,,
Q5270608,dialogue editor,1,,
Q101521340,undervising sound editor,1,,
Q108137233,Étalonnage,1,,
Q7886044,développement,1,,
Q2933935,Calibration de caméra,1,,
Q92782089,lighting grip,1,,
Q58363586,narrateur,1,,
Q33231,photographe,1,,
Q327496,coiffure,1,,
Q1190910,maquillage,1,,
